ID тесту | Модуль системи | Короткий опис тесту | Передумови | Кроки виконання | Очікуваний результат | Пріоритет (Must / Should) | Статус
TC-001 | Авторизація | Реєстрація з існуючим логіном | Система запущена, відкритий екран реєстрації (згідно з макетом) | 1. Ввести унікальний логін.2. Ввести пароль з 3 символів.3. Натиснути "Enter". | Реєстрація не відбувається. З'являється повідомлення про те, що користувач з таким логіном вже існує. | Must | Not tested
TC-002 | Авторизація | Валідація занадто короткого пароля (FR-011) | Відкритий екран реєстрації | 1. Ввести унікальний логін.2. Ввести пароль з 3 символів.3. Натиснути "Enter". | Помилка валідації. Система не реєструє користувача і пропонує згенерований складний/надійний пароль. | Must | Not tested
TC-003 | Авторизація | Успішна реєстрація нового користувача | Відкритий екран реєстрації | 1. Ввести унікальний логін.2. Ввести надійний пароль у обидва поля.3. Натиснути "Enter". | Користувач успішно створений (хеш пароля збережено за NFR-003). Відбувається перехід на головний екран. | Must | Not tested
TC-004 | Авторизація | Невідповідність введених паролів | Відкритий екран реєстрації | 1. Ввести пароль "Test1234!".2. В поле повтору ввести "Test1234?".3. Натиснути "Enter". | З'являється повідомлення "Паролі не співпадають", кнопка реєстрації блокується або дія скасовується. | Must | Not tested
TC-005 | Проєкти | Створення нового проєкту (FR-013) | Користувач авторизований, знаходиться на головному екрані | 1. Натиснути кнопку "Створити новий проєкт". | Відкривається порожнє Canvas-полотно для малювання плану або завантаження існуючого. | Must | Not tested
TC-006 | Проєкти | Відкриття минулого проєкту (FR-013) | У користувача є мінімум 1 збережений проєкт | 1. Перейти в розділ "Мої проєкти".2. Клікнути на картку збереженого проєкту. | Проєкт успішно завантажується з усіма попередньо розміщеними меблями та стінами. | Must | Not tested
TC-007 | Налаштування | Зміна теми на темну (FR-014) | Користувач авторизований, тема за замовчуванням — біла | 1. Відкрити Налаштування.2. Обрати "Темна тема". | Уся палітра інтерфейсу миттєво змінюється на темну (використовуються відповідні CSS Tokens). | Should | Not tested
TC-008 | Налаштування | Локалізація інтерфейсу EN (NFR-005) | Мова за замовчуванням — UA | 1. Відкрити Налаштування.2. Перемкнути мову на "English". | Всі текстові елементи інтерфейсу перекладені англійською мовою. | Must | Not tested
TC-009 | Налаштування | Відображення служби підтримки (FR-015) | Відкриті Налаштування | 1. Перейти до розділу "Підтримка / Допомога". | На екрані чітко відображаються контактний номер телефону, Telegram-посилання та e-mail. | Should | Not tested
TC-010 | Draw (Малювання) | Завантаження готового планування квартири (ТЗ 3.1) | Створено новий проєкт | 1. Натиснути "Завантажити план".2. Обрати валідний файл (JPG/PNG).3. Підтвердити. | План відображається на Canvas як підкладка (background) для подальшого малювання стін. | Must | Not tested
TC-011 | Draw (Малювання) | Ручне малювання стін | Створено новий проєкт | 1. Обрати інструмент "Стіна".2. Кліками на Canvas створити замкнений 4-кутник. | Створюється замкнений полігон. Площа кімнати розраховується і відображається на екрані. | Must | Not tested
TC-012 | Configure | Вибір меблів для генерації | Кімната намальована, перехід до вибору меблів | 1. Відкрити FURNITURE_DB.2. Вибрати "Диван", "Стіл", "Ліжко".3. Натиснути "Далі". | Вибрані елементи зберігаються в React State і передаються в AI Движок. | Must | Not tested
TC-013 | AI Движок | Генерація без вибору меблів (Граничний випадок) | Екран Configure | 1. Не обирати жодного предмету.2. Натиснути "Генерувати план". | Система генерує порожню кімнату (лише контур), помилок у консолі немає, чат працює. | Must | Not tested
TC-014 | AI Движок | Успішна розстановка меблів (SmartPlacementAI) | Кімната 20 м², обрано 4 предмети | 1. Натиснути "Генерувати план".2. Дочекатися результату. | Усі 4 предмети розміщені в межах кімнати, не перетинають стіни і один одного. | Must | Not tested
TC-015 | AI Движок | Час генерації ≤ 1 хвилини (FR-001N) | Кімната складної форми, обрано 15 предметів | 1. Натиснути "Генерувати план".2. Засікти час до появи результату. | План генерується і відмальовується на Canvas менше ніж за 60 секунд. | Must | Not tested
TC-016 | Result | Обчислення кількості та розмірів меблів (ТЗ 3.1) | План успішно згенеровано | 1. Перейти до списку меблів на екрані Result. | Система коректно відображає список з кількістю предметів та їхніми габаритами (ШхВ). | Must | Not tested
